frecuencia_hz,y11_real_s,y11_imag_s,y11_mod_s,y11_fase_deg,y12_real_s,y12_imag_s,y12_mod_s,y12_fase_deg,y21_real_s,y21_imag_s,y21_mod_s,y21_fase_deg,y22_real_s,y22_imag_s,y22_mod_s,y22_fase_deg
41.6869383,4.4408921e-16,6.63637087e-09,6.636370870000015e-09,89.99999616591087,-3.86172554e-16,-5.71960188e-09,5.7196018800000125e-09,-90.00000386846114,-0.741398573,4.43376899e-08,0.7413985730000013,179.99999657355355,0.74142482,-3.55692443e-08,0.7414248200000008,-2.748717771357801e-06
42.6579519,4.57966998e-16,6.79095181e-09,6.7909518100000145e-09,89.99999613609744,-4.04372306e-16,-5.85282853e-09,5.852828530000013e-09,-90.00000395856915,-0.741398573,4.53704474e-08,0.7413985730000013,179.99999649374138,0.74142482,-3.63977585e-08,0.7414248200000008,-2.8127436383724195e-06
43.6515832,4.85722573e-16,6.9491334e-09,6.949133400000018e-09,89.99999599520518,-4.23429786e-16,-5.98915842e-09,5.9891584200000145e-09,-90.00000405077608,-0.741398573,4.64272609e-08,0.7413985730000014,179.9999964120701,0.74142482,-3.72455712e-08,0.7414248200000008,-2.8782608536277584e-06
44.6683592,4.85722573e-16,7.11099951e-09,7.110999510000015e-09,89.99999608636544,-4.43385417e-16,-6.12866384e-09,6.128663840000017e-09,-90.00000414513077,-0.741398573,4.75086907e-08,0.7413985730000014,179.9999963284965,0.74142482,-3.8113132e-08,0.741424820000001,-2.9453041612836757e-06
45.708819,5.27355937e-16,7.27663597e-09,7.276635970000019e-09,89.99999584763212,-4.64281528e-16,-6.27141876e-09,6.271418760000016e-09,-90.00000424168329,-0.741398573,4.86153103e-08,0.7413985730000014,179.99999624297618,0.74142482,-3.90009009e-08,0.741424820000001,-3.013909109190561e-06
46.7735141,5.689893e-16,7.44613059e-09,7.446130590000021e-09,89.9999956217951,-4.86162442e-16,-6.41749886e-09,6.417498860000018e-09,-90.00000434048478,-0.741398573,4.97477063e-08,0.7413985730000017,179.99999615546386,0.74142482,-3.99093485e-08,0.741424820000001,-3.0841120643449194e-06
47.8630092,5.82867088e-16,7.61957325e-09,7.619573250000022e-09,89.99999561710045,-5.09074572e-16,-6.56698162e-09,6.566981620000019e-09,-90.00000444158765,-0.741398573,5.09064793e-08,0.7413985730000017,179.9999960659131,0.74142482,-4.08389567e-08,0.7414248200000011,-3.155950266983932e-06
48.9778819,6.24500451e-16,7.79705591e-09,7.797055910000025e-09,89.99999541092939,-5.33066517e-16,-6.71994627e-09,6.7199462700000205e-09,-90.00000454504551,-0.741398573,5.20922435e-08,0.7413985730000018,179.99999597427646,0.74142482,-4.17902182e-08,0.7414248200000011,-3.2294617919464816e-06
50.1187234,6.38378239e-16,7.97867268e-09,7.978672680000025e-09,89.99999541573138,-5.58189168e-16,-6.87647392e-09,6.876473920000023e-09,-90.00000465091323,-0.741398573,5.33056277e-08,0.7413985730000018,179.9999958805053,0.74142482,-4.27636374e-08,0.7414248200000011,-3.304685618223299e-06
51.2861384,6.9388939e-16,8.16451984e-09,8.16451984000003e-09,89.99999513052398,-5.84495813e-16,-7.03664758e-09,7.036647580000023e-09,-90.00000475924692,-0.741398573,5.45472753e-08,0.741398573000002,179.99999578454995,0.74142482,-4.37597305e-08,0.7414248200000013,-3.381661636684756e-06
